250 3000
238 149 462179
197 81 616418
42 80 873959
3 8 297419
221 87 20508
99 60 209696
109 5 969730
198 47 131632
234 217 174142
176 50 30972
149 124 914449
45 247 499425
225 126 288875
91 57 839635
118 47 245593
117 45 16185
165 142 968801
180 243 841500
136 235 827542
6 148 123756
142 187 527601
42 111 349202
10 179 286653
2 137 294474
61 211 9688
196 165 774854
4 113 239204
139 208 459030
218 63 276205
11 135 68359
69 177 493127
120 159 431176
176 213 567552
217 246 762295
89 195 316332
108 58 454318
198 67 298699
247 31 962036
106 38 323182
48 121 271011
73 37 230921
249 41 366248
69 77 849375
238 145 574130
174 151 952877
129 190 641206
150 178 36750
96 241 884691
199 190 71094
93 230 545801
128 191 241201
29 235 849671
135 44 666086
177 219 854786
44 15 335782
140 103 926042
2 129 45465
177 207 774213
36 89 291802
238 247 413245
17 243 576954
119 97 450089
188 108 158546
94 116 636999
14 220 938392
113 210 991171
41 216 84624
235 156 848207
40 168 69088
194 105 215831
51 205 261142
218 40 871855
224 184 58988
63 249 491362
222 127 289935
147 100 308640
1 8 254912
216 35 867470
31 95 21332
151 210 966773
180 47 707613
245 150 83835
123 180 371538
217 96 729469
58 79 49205
49 104 904878
240 144 114449
74 105 738050
115 185 35847
88 129 21857
187 210 456984
1 127 208032
186 125 947789
140 9 92783
238 56 914996
197 151 289612
102 135 624984
141 51 218147
248 194 33824
208 5 633770
15 44 331205
29 13 200292
99 163 858247
222 130 76689
145 27 629008
128 168 312902
146 126 401389
63 190 560486
239 163 190735
128 174 870584
203 214 111413
138 222 972315
168 54 172033
134 96 658254
79 214 899332
158 11 842252
161 34 655564
175 124 342387
64 121 39371
14 235 243069
87 66 151693
177 8 902453
7 220 867178
130 19 126714
182 108 750738
129 222 415989
52 67 740727
193 120 949139
19 200 351916
104 186 383409
233 42 965223
125 38 408827
39 249 891688
249 57 911351
199 48 147213
180 33 601028
233 4 693860
76 64 15473
140 224 18246
167 157 369922
184 34 481733
50 72 959568
75 13 299774
100 41 626626
34 152 440719
175 164 14751
29 0 189459
48 47 500654
115 198 741013
85 109 472621
89 30 634527
50 3 363847
220 155 456280
214 202 221405
195 73 734620
186 105 444807
191 11 638005
131 146 743830
81 243 790633
45 242 892377
90 232 257215
22 40 842442
23 1 143537
53 34 569725
147 112 981107
41 129 466414
51 83 41139
136 139 30661
196 12 994321
54 239 496190
30 98 640741
155 206 666287
48 3 254480
248 29 17713
98 48 933114
121 11 685094
115 203 751602
48 202 744840
111 141 60619
111 214 35808
12 111 105470
84 6 254455
112 194 838171
117 27 954909
77 150 280340
87 201 526966
55 40 769979
159 116 380930
201 160 858274
245 116 472238
115 97 419924
71 233 35929
103 122 519229
94 37 760395
64 39 141963
243 104 574062
135 79 379028
67 68 951203
120 106 946055
15 122 230223
75 28 560774
60 199 73544
81 209 32918
47 242 799080
69 91 312859
69 118 78520
107 38 47287
7 144 296642
244 178 69079
125 19 42023
31 62 463033
192 181 553310
180 17 997042
131 163 334702
248 156 710921
127 73 884667
234 8 469356
159 210 704986
242 139 848017
127 227 419753
63 8 670214
104 92 101787
129 193 169988
148 219 820879
57 61 678483
185 211 114703
79 113 756992
111 5 819849
187 14 952629
148 35 369715
14 75 256467
188 234 630687
83 164 630701
170 30 114349
149 63 262246
153 98 348139
96 205 933905
1 178 118337
233 115 88127
123 43 974162
215 46 601897
0 62 809751
237 122 518504
31 163 467428
80 22 526108
30 81 994541
74 57 737718
4 125 387163
241 210 244941
180 63 718951
214 37 694829
231 201 526774
187 0 441483
203 108 1847
123 207 367047
160 38 964344
212 213 461741
198 236 636466
169 12 283868
8 9 948361
34 115 350724
135 194 118969
144 28 802788
49 101 177200
150 193 342066
60 40 457
159 36 857184
245 48 758514
248 221 256224
205 165 905640
91 169 563487
149 148 208082
174 57 690709
241 131 222772
15 99 337636
